STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	51	1	101	4849377	4657443	226020	12	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	52	1	103	4849377	4657443	119200	7	7	84.9678	0	0	0	0	0	0	0	0	0	0
9999	1	8	53	1	105	4849377	4657443	6008	3	2	31.1085	0	0	0	0	0	0	0	0	0	0
9999	1	8	54	1	107	4849377	4657443	6752	6	5	92.4578	0	0	0	0	0	0	0	0	0	0
9999	1	8	55	1	109	4849377	4657443	33455	4	4	95.4581	0	0	0	0	0	0	0	0	0	0
9999	1	8	56	1	111	4849377	4657443	22689	6	4	98.3626	0	0	0	0	0	0	0	0	0	0
9999	1	8	57	1	113	4849377	4657443	60716	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	58	1	115	4849377	4657443	86482	11	12	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	59	1	117	4849377	4657443	106660	9	10	97.3623	0	0	0	0	0	0	0	0	0	0
9999	1	8	60	1	119	4849377	4657443	13089	5	5	89.432	0	0	0	0	0	0	0	0	0	0
9999	1	8	61	1	121	4849377	4657443	80910	6	7	96.363	0	0	0	0	0	0	0	0	0	0
9999	1	8	62	1	123	4849377	4657443	40943	6	7	98.7483	0	0	0	0	0	0	0	0	0	0
9999	1	8	63	1	125	4849377	4657443	202415	8	10	99.9133	0	0	0	0	0	0	0	0	0	0
9999	1	8	64	1	127	4849377	4657443	65019	9	8	97.3269	0	0	0	0	0	0	0	0	0	0
9999	1	8	65	1	129	4849377	4657443	16711	4	4	95.6705	0	0	0	0	0	0	0	0	0	0
9999	1	8	66	1	131	4849377	4657443	11246	3	3	91.2769	0	0	0	0	0	0	0	0	0	0
9999	1	8	67	1	133	4849377	4657443	20012	6	5	97.2092	0	0	0	0	0	0	0	0	0	0
9999	1	8	68	1	777	4849377	4657443	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	69	2	13	736732	732371	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	70	2	16	736732	732371	4308	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	71	2	20	736732	732371	301306	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	72	2	50	736732	732371	6431	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	73	2	60	736732	732371	945	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	74	2	70	736732	732371	2416	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	75	2	90	736732	732371	34712	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	76	2	100	736732	732371	2599	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	77	2	110	736732	732371	32988	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	78	2	122	736732	732371	20109	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	79	2	130	736732	732371	8246	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	80	2	150	736732	732371	6495	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	81	2	164	736732	732371	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	82	2	170	736732	732371	15390	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	83	2	180	736732	732371	3844	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	84	2	185	736732	732371	9691	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	85	2	188	736732	732371	3289	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	86	2	201	736732	732371	1264	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	87	2	220	736732	732371	9051	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	88	2	232	736732	732371	998	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	89	2	240	736732	732371	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	90	2	261	736732	732371	6325	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	91	2	270	736732	732371	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	92	2	280	736732	732371	5321	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	93	2	282	736732	732371	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	94	2	290	736732	732371	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	95	2	777	736732	732371	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	96	2	999	736732	732371	256643	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	97	4	1	6731484	6595464	72508	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	98	4	3	6731484	6595464	106863	8	5	95.3041	0	0	0	0	0	0	0	0	0	0
9999	1	8	99	4	5	6731484	6595464	138202	6	7	100	1	1	0	0	0	1	0	0	0	0
9999	1	8	100	4	7	6731484	6595464	52331	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	101	4	9	6731484	6595464	28285	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	102	4	11	6731484	6595464	9302	2	2	69.1088	0	0	0	0	0	0	0	0	0	0
9999	1	8	103	4	12	6731484	6595464	17363	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	104	4	13	6731484	6595464	4087118	18	19	100	19	15	0	1	0	18	1	14	1	0
9999	1	8	105	4	15	6731484	6595464	200441	5	4	100	1	1	0	0	0	1	0	1	0	0
9999	1	8	106	4	17	6731484	6595464	108028	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	107	4	19	6731484	6595464	1007520	9	9	100	5	4	0	0	0	4	0	3	0	0
9999	1	8	108	4	21	6731484	6595464	390215	11	10	100	2	1	0	0	0	2	0	1	0	0
9999	1	8	109	4	23	6731484	6595464	46985	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	110	4	25	6731484	6595464	126452	10	10	100	1	0	0	0	0	1	0	0	0	0
9999	1	8	111	4	27	6731484	6595464	203851	6	5	100	1	1	0	0	0	1	0	1	0	0
9999	1	8	112	4	777	6731484	6595464	0	23	23	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	113	5	1	2966369	2729533	18701	4	4	99.9015	0	0	0	0	0	0	0	0	0	0
9999	1	8	114	5	3	2966369	2729533	21126	3	3	100	0	0	0	0	0	0	0	0	0	0
