STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	1	1	1	1	1	57217	3	1	0	974	289	23	266	1	1	10	12	10	252	3	0	125	5	17	4	10	4	8	0	1	63	0	0	0	0	0	63	8	31	1	23	0	0	0	0	0	84	21	68	12	3	260	0	0	0
9999	1	1	2	1	3	198843	14	0	10.4765	4480	807	93	714	1	2	27	62	45	650	16	3	464	11	60	6	45	17	25	0	15	105	0	0	0	0	0	104	13	52	1	38	0	0	0	0	5	427	87	239	36	6	2126	0	0	0
9999	1	1	3	1	5	27026	5	0	32.4354	435	133	15	119	0	0	6	8	12	105	1	0	67	2	7	2	4	2	3	0	0	26	0	0	0	0	0	26	3	13	0	9	0	0	0	0	0	35	9	28	6	1	110	0	0	0
9999	1	1	4	1	7	22491	4	1	27.9504	246	68	13	55	0	0	4	8	4	47	5	0	43	2	2	3	4	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	8	0	90	0	0	0
9999	1	1	5	1	9	58037	6	0	7.3561	804	79	3	76	0	0	0	3	1	72	2	0	56	0	23	0	0	8	4	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	52	51	23	4	0	499	0	0	0
9999	1	1	6	1	11	10586	2	0	53.078	157	32	15	17	0	0	4	11	4	9	2	2	40	6	6	0	6	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	10	0	28	0	0	0
9999	1	1	7	1	13	20119	4	1	34.8265	930	291	51	240	0	8	9	35	19	213	8	0	149	4	63	0	7	10	6	0	0	4	0	0	0	0	0	4	0	2	0	1	0	0	0	0	10	31	5	24	29	0	296	0	0	0
9999	1	1	8	1	15	120338	9	1	14.1583	2449	525	67	457	2	2	29	35	49	396	12	0	285	16	52	5	25	19	14	0	3	77	0	0	0	0	0	77	10	38	1	28	0	0	0	0	2	185	139	127	24	4	945	0	0	0
9999	1	1	9	1	17	34195	4	0	20.6677	1290	202	38	163	3	3	9	23	24	138	1	0	148	10	31	2	23	8	15	0	3	28	0	0	0	0	0	28	3	14	0	10	0	0	0	0	8	103	12	66	16	1	615	0	0	0
9999	1	1	10	1	19	26257	4	1	13.1524	487	124	6	118	2	0	0	3	7	106	4	0	48	10	36	4	15	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25	8	14	5	0	188	0	0	0
