County,RGDP2016,RGDP2017,RGDP2018,RGDP2019,RANK2019,%C2017,%C2018,%C2019,RANK%2019
AL,191523406,193692995,198053707,200829359,--,1.1,2.3,1.4,--
Autauga,1581893.00,1494278.00,1537059.00,1501769.00,24,-5.5,2.9,-2.3,61
Baldwin,5625966.00,5754579.00,6006401.00,6140514.00,7,2.3,4.4,2.2,28
Barbour,739860.00,743441.00,771536.00,762856.00,40,0.5,3.8,-1.1,58
Bibb,355874.00,355890.00,363268.00,389547.00,58,0,2.1,7.2,2
Blount,829566.00,876376.00,896074.00,869049.00,35,5.6,2.2,-3,62
Bullock,219410.00,221420.00,230666.00,246089.00,64,0.9,4.2,6.7,4
Butler,571598.00,583715.00,603080.00,601174.00,44,2.1,3.3,-0.3,52
Calhoun,3861691.00,3882048.00,3955983.00,4050073.00,11,0.5,1.9,2.4,25
Chambers,822829.00,771863.00,789175.00,819345.00,37,-6.2,2.2,3.8,10
Cherokee,489001.00,501472.00,534858.00,531160.00,47,2.6,6.7,-0.7,56
Chilton,831313.00,866476.00,898205.00,929435.00,34,4.2,3.7,3.5,14
Choctaw,507360.00,490802.00,536654.00,540271.00,45,-3.3,9.3,0.7,43
Clarke,767215.00,736943.00,758828.00,770838.00,39,-3.9,3,1.6,34
Clay,344573.00,374890.00,414858.00,395198.00,57,8.8,10.7,-4.7,65
Cleburne,301107.00,297600.00,302085.00,276518.00,62,-1.2,1.5,-8.5,66
Coffee,1316062.00,1316284.00,1343962.00,1344913.00,27,0,2.1,0.1,47
Colbert,2398084.00,2277382.00,2324195.00,2375926.00,19,-5,2.1,2.2,29
Conecuh,469117.00,456322.00,447187.00,461600.00,51,-2.7,-2,3.2,15
Coosa,171965.00,167835.00,171137.00,174730.00,67,-2.4,2,2.1,30
Covington,1140024.00,1151852.00,1145891.00,1121281.00,32,1,-0.5,-2.1,60
Crenshaw,391300.00,414048.00,428869.00,431331.00,52,5.8,3.6,0.6,44
Cullman,2569181.00,2590029.00,2617563.00,2581754.00,17,0.8,1.1,-1.4,59
Dale,2636685.00,2601275.00,2595137.00,2638931.00,16,-1.3,-0.2,1.7,33
Dallas,1154622.00,1144189.00,1160260.00,1193935.00,31,-0.9,1.4,2.9,20
DeKalb,1749727.00,1877224.00,1944091.00,1879778.00,20,7.3,3.6,-3.3,63
Elmore,1651053.00,1675937.00,1694231.00,1709071.00,23,1.5,1.1,0.9,42
Escambia,1186467.00,1196818.00,1216107.00,1244239.00,30,0.9,1.6,2.3,26
Etowah,2851486.00,2873797.00,2911022.00,2915965.00,15,0.8,1.3,0.2,46
Fayette,345019.00,327068.00,333764.00,343241.00,59,-5.2,2,2.8,22
Franklin,855153.00,912625.00,949820.00,948279.00,33,6.7,4.1,-0.2,50
Geneva,525195.00,502784.00,509159.00,534804.00,46,-4.3,1.3,5,6
Greene,239982.00,215082.00,219281.00,244098.00,65,-10.4,2,11.3,1
Hale,302538.00,283138.00,265090.00,272988.00,63,-6.4,-6.4,3,19
Henry,367441.00,386222.00,394700.00,410939.00,55,5.1,2.2,4.1,8
Houston,4685076.00,4848641.00,4894537.00,4906396.00,10,3.5,0.9,0.2,45
Jackson,1392203.00,1394904.00,1415454.00,1405878.00,25,0.2,1.5,-0.7,55
Jefferson,39588975.00,39985762.00,40928685.00,41359665.00,1,1,2.4,1.1,39
Lamar,304907.00,314645.00,321298.00,329681.00,60,3.2,2.1,2.6,24
Lauderdale,2356867.00,2381389.00,2406508.00,2440671.00,18,1,1.1,1.4,36
Lawrence,468265.00,477246.00,487552.00,506829.00,48,1.9,2.2,4,9
Lee,5086943.00,5174382.00,5219694.00,5265738.00,9,1.7,0.9,0.9,41
Limestone,3136604.00,3228648.00,3202456.00,3268954.00,12,2.9,-0.8,2.1,31
Lowndes,412401.00,411439.00,414393.00,412296.00,54,-0.2,0.7,-0.5,54
Macon,473901.00,489565.00,495042.00,506149.00,49,3.3,1.1,2.2,27
Madison,20798731.00,21370696.00,22203070.00,22979842.00,2,2.7,3.9,3.5,13
Marengo,668598.00,640935.00,662828.00,686093.00,43,-4.1,3.4,3.5,12
Marion,795132.00,803592.00,835260.00,831902.00,36,1.1,3.9,-0.4,53
Marshall,2938723.00,3061783.00,3156115.00,3199310.00,13,4.2,3.1,1.4,37
Mobile,17945500.00,17869675.00,18205946.00,18484941.00,3,-0.4,1.9,1.5,35
Monroe,643043.00,655278.00,677498.00,699127.00,41,1.9,3.4,3.2,16
Montgomery,12365592.00,12348699.00,12383037.00,12552254.00,4,-0.1,0.3,1.4,38
Morgan,5002054.00,4993421.00,5171280.00,5320638.00,8,-0.2,3.6,2.9,21
Perry,211610.00,206590.00,202918.00,217199.00,66,-2.4,-1.8,7,3
Pickens,407668.00,397746.00,404612.00,404838.00,56,-2.4,1.7,0.1,48
Pike,1284263.00,1293172.00,1280634.00,1270861.00,28,0.7,-1,-0.8,57
Randolph,472302.00,482458.00,493116.00,475636.00,50,2.2,2.2,-3.5,64
