STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	1	3	1	1	1	57217	3	1	0	53	29	2	27	0	0	1	1	2	25	0	0	9	0	0	0	1	1	1	0	1	3	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	2	0	6	0	0	0
9999	1	3	2	1	3	198843	14	0	10.4765	210	89	12	77	0	0	3	9	8	66	3	0	35	0	3	0	3	4	1	0	1	4	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	9	2	6	0	51	0	0	0
9999	1	3	3	1	5	27026	5	0	32.4354	23	12	1	11	0	0	0	0	1	10	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
9999	1	3	4	1	7	22491	4	1	27.9504	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
9999	1	3	5	1	9	58037	6	0	7.3561	10	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0
9999	1	3	6	1	11	10586	2	0	53.078	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
9999	1	3	7	1	13	20119	4	1	34.8265	39	34	0	34	0	0	0	0	0	33	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	8	1	15	120338	9	1	14.1583	151	52	7	44	0	0	5	2	12	32	0	0	22	0	0	0	2	2	1	0	2	3	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	23	1	4	0	39	0	0	0
9999	1	3	9	1	17	34195	4	0	20.6677	29	14	2	12	0	0	1	2	1	11	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	6	0	0	0
9999	1	3	10	1	19	26257	4	1	13.1524	15	13	1	12	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
9999	1	3	11	1	21	43934	5	0	6.174	32	11	2	10	0	1	0	0	0	6	3	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
9999	1	3	12	1	23	13331	3	0	49.2124	4	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	13	1	25	25080	4	0	59.6903	34	6	2	4	0	0	0	2	0	3	0	0	7	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0
9999	1	3	14	1	27	13396	3	0	68.7512	3	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9999	1	3	15	1	29	15009	3	0	1.3492	7	5	0	5	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9999	1	3	16	1	31	51644	5	1	8.7414	56	29	4	25	0	1	1	2	3	20	1	0	9	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	2	0	8	0	0	0
9999	1	3	17	1	33	54556	8	0	37.7739	93	13	1	12	0	0	0	1	1	11	0	0	27	0	0	0	3	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	8	0	17	0	0	0
9999	1	3	18	1	35	12806	3	0	34.4344	7	2	0	2	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	19	1	37	10745	2	0	63.4768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	20	1	39	37932	9	0	53.8971	31	14	3	11	0	0	0	3	0	11	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
9999	1	3	21	1	41	14024	4	0	50.5966	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	22	1	43	80923	3	1	25.9969	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
9999	1	3	23	1	45	48097	10	1	36.0256	42	15	1	14	0	0	0	0	1	13	0	0	16	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0
9999	1	3	24	1	47	41573	3	0	37.2832	80	35	7	28	0	0	5	2	3	22	3	0	20	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0
9999	1	3	25	1	49	71053	14	1	17.1865	31	13	2	11	0	0	0	1	1	10	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0
9999	1	3	26	1	51	81213	7	1	1.1387	42	23	2	22	0	0	1	1	2	20	0	0	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	5	0	0	0
9999	1	3	27	1	53	37923	5	0	22.1759	31	19	4	15	0	0	0	3	8	7	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	4	0	0	0
